name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,Name
Javier Vazquez,Showtime,16,5,0,170.18,65.77,175.26,Southpaw,1977-07-16,2.43,36.0,1.99,72.0,2.56,52.0,57.0,1.5,javier vazquez
Marnic Mann,The Sawed-Off Savage,6,2,0,152.4,52.16,162.56,Southpaw,1993-03-05,1.1,42.0,4.93,31.0,1.83,30.0,16.0,0.0,marnic mann
Greg Rebello,Ribz,24,8,0,182.88,108.86,185.42,Southpaw,1982-06-13,2.61,39.0,2.92,58.0,0.0,0.0,0.0,0.0,greg rebello
Ikram Aliskerov,,15,1,0,182.88,83.91,193.04,Southpaw,1992-12-07,8.24,65.0,7.15,36.0,2.33,33.0,0.0,2.3,ikram aliskerov
Donnie Chappell,,0,1,0,180.34,80.74,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,donnie chappell
Sean Salmon,,18,21,0,177.8,83.91,,Southpaw,1977-09-11,1.49,33.0,2.03,65.0,4.06,50.0,0.0,0.0,sean salmon
Alan Jouban,Brahma,17,7,0,182.88,77.11,185.42,Southpaw,1981-11-25,5.67,50.0,3.77,60.0,0.51,44.0,58.0,0.3,alan jouban
Katsuya Inoue,,19,9,4,175.26,76.2,,Southpaw,1979-08-10,3.41,24.0,12.89,51.0,0.0,0.0,66.0,0.0,katsuya inoue
Shelton Graves,The Gravedigger,7,3,0,187.96,115.67,193.04,Southpaw,1985-10-23,2.19,69.0,0.81,33.0,4.86,57.0,0.0,0.0,shelton graves
Alexander Yakovlev,Russian Thunder,24,10,1,190.5,70.31,187.96,Southpaw,1984-07-18,1.74,47.0,2.41,58.0,1.66,35.0,72.0,0.1,alexander yakovlev
Kennedy Nzechukwu,African Savage,12,4,0,195.58,92.99,210.82,Southpaw,1992-06-13,4.86,46.0,4.27,51.0,0.68,50.0,80.0,0.3,kennedy nzechukwu
Kevin Casey,King,9,5,2,180.34,83.91,195.58,Southpaw,1981-06-15,2.27,53.0,3.76,46.0,0.79,22.0,27.0,0.4,kevin casey
Shonie Carter,Mr. International,51,31,7,177.8,77.11,,Southpaw,1972-05-03,1.62,36.0,2.32,47.0,0.75,66.0,75.0,0.0,shonie carter
Top Noi Kiwram,,9,5,0,165.1,56.7,170.18,Southpaw,1992-08-15,4.47,59.0,3.23,66.0,2.72,85.0,74.0,0.0,top noi kiwram
Eric Smith,,1,1,0,,,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eric smith
Matt Andersen,,14,8,1,187.96,104.33,,Southpaw,1971-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matt andersen
Alex Stiebling,The Brazilian Killa,19,11,1,187.96,92.99,,Southpaw,,1.77,42.0,1.45,52.0,0.35,66.0,66.0,0.7,alex stiebling
Todd Moore,,16,7,0,175.26,77.11,180.34,Southpaw,1983-12-30,1.83,26.0,2.3,57.0,0.78,14.0,54.0,0.0,todd moore
Darren Till,The Gorilla,18,5,1,182.88,83.91,187.96,Southpaw,1992-12-24,2.3,46.0,3.31,56.0,0.55,46.0,69.0,0.0,darren till
Magomed Sultanakhmedov,,18,6,0,187.96,83.91,,Southpaw,,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,magomed sultanakhmedov
Dokonjonosuke Mishima,,21,7,2,170.18,70.31,,Southpaw,1972-04-19,1.06,41.0,1.22,52.0,2.47,40.0,25.0,1.4,dokonjonosuke mishima
Jimmy Ambriz,The Titan,17,21,1,187.96,142.88,,Southpaw,1970-01-26,0.83,29.0,3.76,40.0,3.13,57.0,100.0,0.8,jimmy ambriz
John Lewis,,3,4,3,182.88,70.31,,Southpaw,,0.0,0.0,4.0,66.0,0.0,0.0,0.0,0.0,john lewis
Sai Wang,The Fire Kylin,20,6,1,182.88,77.11,,Southpaw,1986-01-14,3.17,46.0,2.27,53.0,0.0,0.0,77.0,0.0,sai wang
James Lee,,15,3,0,180.34,92.99,,Southpaw,1973-09-22,1.4,42.0,3.72,27.0,13.95,50.0,0.0,7.0,james lee
Ashley Yoder,SpiderMonkey,8,9,0,170.18,52.16,175.26,Southpaw,1987-10-20,3.42,39.0,4.13,47.0,1.09,27.0,66.0,0.6,ashley yoder
Kyle Watson,,13,8,1,182.88,70.31,,Southpaw,1979-08-09,3.67,35.0,3.25,62.0,0.0,0.0,100.0,0.0,kyle watson
JJ Aldrich,,13,6,0,165.1,56.7,170.18,Southpaw,1992-09-29,4.05,46.0,4.53,60.0,0.71,25.0,66.0,0.0,jj aldrich
Demian Maia,,28,11,0,185.42,77.11,182.88,Southpaw,1977-11-06,1.8,43.0,2.07,63.0,2.49,24.0,61.0,1.0,demian maia
Jason High,The Kansas City Bandit,21,6,0,172.72,70.31,185.42,Southpaw,1981-10-12,1.28,42.0,1.56,48.0,2.36,63.0,37.0,2.8,jason high
Roger Narvaez,Silverback,8,3,0,190.5,83.91,,Southpaw,1983-09-09,2.12,37.0,3.32,64.0,0.0,0.0,50.0,0.9,roger narvaez
Danny Roberts,Hot Chocolate,18,8,0,185.42,77.11,187.96,Southpaw,1987-07-14,3.18,39.0,3.73,50.0,0.24,9.0,57.0,0.2,danny roberts
Akiyo Nishiura,Wicky Akiyo,13,8,1,172.72,63.05,,Southpaw,1983-08-08,1.59,57.0,1.26,57.0,0.0,0.0,52.0,0.3,akiyo nishiura
Jonathan Martinez,Dragon,19,4,0,172.72,61.23,177.8,Southpaw,1994-04-20,4.64,50.0,3.76,58.0,0.44,41.0,69.0,0.1,jonathan martinez
Leah Letson,Nidas,5,3,0,170.18,65.77,180.34,Southpaw,1992-08-21,3.06,41.0,3.84,52.0,0.51,50.0,76.0,0.0,leah letson
Elias Garcia,,6,2,0,165.1,56.7,170.18,Southpaw,1992-09-13,1.59,27.0,5.05,50.0,0.68,14.0,33.0,1.4,elias garcia
Rex Holman,Big Dog,4,2,0,190.5,92.99,,Southpaw,,2.75,34.0,7.25,40.0,0.0,0.0,100.0,0.0,rex holman
Ramon Taveras,The Savage,9,2,0,172.72,61.23,177.8,Southpaw,1994-01-09,7.2,58.0,6.17,66.0,0.0,0.0,0.0,0.0,ramon taveras
Tommy Hayden,Wild Card,11,3,0,175.26,65.77,,Southpaw,1986-03-11,1.48,27.0,2.05,55.0,3.42,33.0,66.0,0.0,tommy hayden
Artem Lobov,The Russian Hammer,13,15,1,175.26,65.77,165.1,Southpaw,1986-08-11,3.52,41.0,4.82,50.0,0.39,25.0,52.0,0.0,artem lobov
John Halverson,The Hurricane,16,8,0,175.26,70.31,,Southpaw,1972-09-08,2.94,43.0,5.29,47.0,0.0,0.0,66.0,2.0,john halverson
Diego Sanchez,Nightmare,31,13,0,177.8,77.11,182.88,Southpaw,1981-12-31,2.69,37.0,3.02,56.0,1.51,24.0,46.0,0.8,diego sanchez
Holly Holm,The Preacher's Daughter,15,6,0,172.72,61.23,175.26,Southpaw,1981-10-17,3.21,40.0,2.79,56.0,0.9,30.0,78.0,0.1,holly holm
Jinnosuke Kashimura,,4,2,0,170.18,70.31,180.34,Southpaw,2001-08-12,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,jinnosuke kashimura
Josiah Harrell,Muscle Hamster,7,0,0,170.18,77.11,172.72,Southpaw,1998-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,josiah harrell
Zarrukh Adashev,The Lion,4,4,0,165.1,56.7,165.1,Southpaw,1992-07-29,3.65,40.0,3.04,64.0,0.0,0.0,100.0,0.5,zarrukh adashev
