name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,Name
Chelsea Hackett,Hammer,3,1,1,162.56,56.7,167.64,Switch,1998-08-16,2.58,51.0,4.85,46.0,0.0,0.0,57.0,0.0,chelsea hackett
Jonas Bilharinho,,9,1,1,180.34,65.77,190.5,Switch,1990-05-22,3.71,60.0,3.36,57.0,0.0,0.0,100.0,0.0,jonas bilharinho
Cory Hendricks,,3,1,0,190.5,92.99,,Switch,1988-05-10,3.13,39.0,4.07,42.0,0.0,0.0,100.0,0.0,cory hendricks
Lv Zhenhong,,16,6,0,172.72,65.77,170.18,Switch,1993-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lv zhenhong
Serhiy Sidey,,10,1,0,180.34,61.23,182.88,Switch,1996-07-04,4.52,35.0,4.52,42.0,0.0,0.0,0.0,0.0,serhiy sidey
Yuma Horiuchi,Ichiban,9,5,0,167.64,56.7,170.18,Switch,1997-09-22,3.73,30.0,5.0,35.0,2.0,16.0,0.0,2.0,yuma horiuchi
Aalon Cruz,,8,4,0,182.88,65.77,198.12,Switch,1989-09-20,7.58,39.0,8.88,58.0,0.0,0.0,0.0,0.0,aalon cruz
Christian Leroy Duncan,CLD,9,1,0,187.96,83.91,200.66,Switch,1995-07-24,5.06,59.0,4.68,47.0,0.0,0.0,50.0,0.0,christian leroy duncan
Dwight Joseph,,5,0,0,167.64,61.23,,Switch,1989-08-16,2.6,52.0,2.87,55.0,1.0,20.0,20.0,1.0,dwight joseph
Ronnie Lawrence,The Heat,8,2,0,172.72,61.23,172.72,Switch,1992-06-13,2.78,56.0,1.75,52.0,6.75,77.0,45.0,0.2,ronnie lawrence
Mohammad Yahya,The UAE Warrior,12,4,0,175.26,70.31,185.42,Switch,1994-05-23,2.87,46.0,4.07,37.0,1.0,100.0,42.0,1.0,mohammad yahya
Andrew Todhunter,The Sniper,8,0,0,182.88,83.91,,Switch,1987-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,andrew todhunter
Pete Rodriguez,Dead Game,5,1,0,175.26,70.31,180.34,Switch,1996-11-13,10.37,46.0,11.69,44.0,0.0,0.0,100.0,0.0,pete rodriguez
KB Bhullar,The Bengal,8,2,0,193.04,83.91,198.12,Switch,1991-10-12,4.31,49.0,5.39,45.0,0.0,0.0,0.0,0.0,kb bhullar
Tarec Saffiedine,Sponge,16,7,0,177.8,77.11,177.8,Switch,1986-09-06,4.05,47.0,3.06,62.0,0.52,36.0,84.0,0.1,tarec saffiedine
Matthew Semelsberger,Semi The Jedi,11,6,0,185.42,77.11,190.5,Switch,1992-11-23,4.06,43.0,4.36,55.0,1.02,58.0,50.0,0.1,matthew semelsberger
Taylor Johnson,Tombstone,5,1,0,182.88,83.91,187.96,Switch,1990-11-09,5.09,60.0,1.13,33.0,8.49,100.0,100.0,0.0,taylor johnson
Juan Mott,,3,4,0,182.88,86.18,,Switch,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,juan mott
Brogan Walker,The Bear,8,4,0,162.56,56.7,170.18,Switch,1988-08-02,2.04,30.0,3.7,47.0,0.0,0.0,11.0,0.0,brogan walker
Zhang Weili,Magnum,24,3,0,162.56,52.16,160.02,Switch,1989-08-13,5.94,51.0,3.44,53.0,2.29,42.0,66.0,0.4,zhang weili
Tony Kelley,Primetime,8,3,0,175.26,61.23,177.8,Switch,1987-01-21,5.55,47.0,4.85,45.0,0.0,0.0,52.0,1.4,tony kelley
Israel Adesanya,The Last Stylebender,24,3,0,193.04,83.91,203.2,Switch,1989-07-22,3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1,israel adesanya
Amiran Gogoladze,,14,3,0,185.42,77.11,187.96,Switch,1997-12-09,1.64,66.0,0.82,0.0,0.0,0.0,0.0,0.0,amiran gogoladze
Billy Pasulatan,,10,3,0,165.1,56.7,167.64,Switch,1991-08-07,0.65,20.0,5.22,48.0,0.0,0.0,0.0,4.9,billy pasulatan
Anshul Jubli,King of Lions,7,1,0,182.88,70.31,175.26,Switch,1995-01-13,6.48,46.0,5.61,51.0,0.82,18.0,63.0,0.4,anshul jubli
Daron Cruickshank,Detroit Superstar,18,10,0,172.72,70.31,182.88,Switch,1985-06-11,2.88,38.0,2.98,57.0,2.04,41.0,60.0,0.2,daron cruickshank
Jake Lindsey,The Librarian,12,7,0,180.34,70.31,,Switch,1986-06-21,3.44,52.0,4.01,46.0,0.65,33.0,50.0,0.0,jake lindsey
Andre Petroski,,10,3,0,182.88,83.91,185.42,Switch,1991-06-12,3.61,51.0,3.03,51.0,4.48,54.0,71.0,2.5,andre petroski
Angelo Trevino,Baby Monsta,7,3,0,180.34,77.11,,Switch,1993-06-10,5.19,54.0,3.9,47.0,0.0,0.0,100.0,0.0,angelo trevino
Zach Reese,Savage,6,1,0,193.04,83.91,195.58,Switch,1994-03-24,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,zach reese
Kaiwen,The Underdog,12,5,0,175.26,65.77,182.88,Switch,1995-10-16,4.57,54.0,3.65,57.0,0.0,0.0,90.0,0.0,kaiwen
Jack Della Maddalena,,16,2,0,180.34,77.11,185.42,Switch,1996-09-10,7.2,53.0,4.83,67.0,0.27,20.0,82.0,0.3,jack della maddalena
Shuya Kamikubo,Stealth,13,2,1,165.1,61.23,172.72,Switch,1993-04-12,3.83,54.0,4.9,47.0,1.5,15.0,0.0,0.5,shuya kamikubo
Niklas Stolze,Green Mask,12,6,0,185.42,70.31,187.96,Switch,1992-12-28,2.12,48.0,2.25,49.0,0.66,100.0,55.0,0.7,niklas stolze
Jonathan Meunier,District,8,1,0,190.5,77.11,,Switch,1987-08-04,3.47,50.0,1.43,69.0,0.58,33.0,58.0,0.0,jonathan meunier
John Castaneda,Sexy Mexi,21,6,0,167.64,61.23,180.34,Switch,1991-12-18,4.79,50.0,4.99,56.0,1.92,37.0,71.0,0.2,john castaneda
Shaun Etchell,The Buzzsaw,7,3,0,170.18,56.7,172.72,Switch,1993-08-05,0.0,0.0,0.0,0.0,4.37,100.0,100.0,0.0,shaun etchell
Terrance McKinney,T. Wrecks,15,6,0,177.8,70.31,185.42,Switch,1994-09-15,4.46,52.0,2.51,44.0,3.52,36.0,85.0,1.0,terrance mckinney
Payton Talbott,,7,0,0,177.8,61.23,177.8,Switch,1998-09-09,6.66,51.0,3.12,51.0,0.0,0.0,88.0,0.6,payton talbott
Sean O'Malley,Sugar,17,1,0,180.34,61.23,182.88,Switch,1994-10-24,7.25,61.0,3.51,61.0,0.43,42.0,62.0,0.4,sean o'malley
Maycee Barber,The Future,13,2,0,165.1,56.7,165.1,Switch,1998-05-18,4.6,52.0,2.72,54.0,1.14,35.0,45.0,0.1,maycee barber
Shin Haraguchi,,7,0,0,167.64,70.31,172.72,Switch,1998-11-27,2.99,70.0,0.65,39.0,14.01,80.0,0.0,0.0,shin haraguchi
Dwight Grant,The Body Snatcher,11,6,0,185.42,83.91,193.04,Switch,1984-09-14,3.29,36.0,2.66,60.0,0.61,100.0,66.0,0.0,dwight grant
James Moontasri,Moon Walker,9,5,0,177.8,77.11,180.34,Switch,1988-04-10,2.39,48.0,3.86,40.0,0.0,0.0,79.0,0.2,james moontasri
Kevin Jackson,,4,2,0,177.8,90.26,,Switch,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kevin jackson
Devin Smyth,,4,2,0,177.8,77.11,182.88,Switch,1995-07-21,2.6,68.0,6.73,25.0,4.0,26.0,100.0,0.0,devin smyth
Raheam Forest,Rambo,7,2,0,180.34,77.11,185.42,Switch,1997-07-11,5.32,38.0,12.15,42.0,0.0,0.0,0.0,0.0,raheam forest
Nate Smith,The Savage,6,1,0,167.64,56.7,175.26,Switch,1995-04-09,1.28,38.0,2.04,35.0,0.0,0.0,33.0,2.3,nate smith
Dylan Potter,Big Poppa,10,6,0,187.96,102.06,195.58,Switch,1995-01-14,3.1,48.0,5.78,46.0,0.0,0.0,33.0,1.1,dylan potter
Dricus Du Plessis,Stillknocks,20,2,0,185.42,83.91,193.04,Switch,1994-01-14,6.95,55.0,3.79,53.0,2.72,50.0,40.0,1.1,dricus du plessis
Mitch Raposo,,5,1,0,165.1,56.7,162.56,Switch,1998-10-16,2.57,25.0,3.18,56.0,3.67,66.0,0.0,0.0,mitch raposo
Dylan Budka,The Mindless Hulk,7,2,0,182.88,83.91,190.5,Switch,2000-01-14,1.47,66.0,0.73,52.0,2.0,28.0,100.0,1.0,dylan budka
Charles Johnson,InnerG,13,6,0,175.26,56.7,177.8,Switch,1991-01-10,4.34,55.0,3.27,54.0,0.19,14.0,62.0,0.2,charles johnson
Joshua Wang-Kim,Twin Dragon,5,2,0,175.26,61.23,180.34,Switch,1992-11-16,2.95,40.0,4.43,60.0,1.17,100.0,66.0,0.0,joshua wang-kim
Jack May,The Outlaw,9,3,0,203.2,115.67,,Switch,1981-04-14,1.52,38.0,3.29,33.0,0.91,33.0,20.0,0.0,jack may
Tresean Gore,Mr. Vicious,5,2,0,182.88,83.91,190.5,Switch,1994-06-21,3.04,53.0,6.13,47.0,3.04,71.0,81.0,1.2,tresean gore
Kyle Sturgeon,,0,1,0,190.5,102.06,,Switch,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kyle sturgeon
Steven Nguyen,The Ninja,9,1,0,180.34,65.77,185.42,Switch,1993-05-19,8.29,43.0,7.49,63.0,0.0,0.0,83.0,0.0,steven nguyen
Daniel Lacerda,Miojo,11,5,0,167.64,56.7,177.8,Switch,1996-06-05,4.16,47.0,8.7,34.0,1.91,42.0,0.0,1.3,daniel lacerda
Jeremy Kimball,,15,8,0,182.88,92.99,182.88,Switch,1991-01-03,2.81,46.0,3.84,49.0,1.41,20.0,50.0,0.0,jeremy kimball
Tamdan McCrory,The Barncat,14,5,0,193.04,83.91,193.04,Switch,1986-11-05,2.07,49.0,1.6,46.0,2.28,50.0,33.0,2.5,tamdan mccrory
Randy Costa,The Zohan,6,4,0,175.26,61.23,185.42,Switch,1994-07-06,6.53,46.0,7.58,58.0,0.0,0.0,50.0,0.0,randy costa
Trevor Peek,,9,1,0,175.26,70.31,177.8,Switch,1995-01-09,5.09,56.0,4.37,44.0,1.76,50.0,51.0,0.0,trevor peek
Calen Born,,7,1,0,172.72,77.11,182.88,Switch,1988-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calen born
Gabriel Checco,Zangief,10,2,0,185.42,83.91,,Switch,1986-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gabriel checco
Vinicius Oliveira,Lok Dog,19,3,0,175.26,61.23,177.8,Switch,1995-11-30,9.56,49.0,2.31,61.0,0.0,0.0,100.0,0.0,vinicius oliveira
Gadzhi Omargadzhiev,,13,2,0,185.42,77.11,180.34,Switch,1993-02-24,1.8,39.0,2.2,39.0,1.35,30.0,60.0,0.5,gadzhi omargadzhiev
Keisuke Sasu,Sasuke,11,3,1,165.1,65.77,175.26,Switch,1994-09-30,2.76,49.0,2.42,48.0,3.76,40.0,61.0,1.9,keisuke sasu
Korey Kuppe,,8,4,0,195.58,77.11,195.58,Switch,1989-01-23,0.73,73.0,1.33,31.0,0.0,0.0,69.0,1.0,korey kuppe
Oliver Enkamp,,7,2,0,182.88,77.11,195.58,Switch,1991-08-10,2.38,36.0,3.55,37.0,0.87,16.0,0.0,0.0,oliver enkamp
Victor Rodriguez,Vicious,7,4,0,165.1,56.7,170.18,Switch,1992-09-05,1.59,37.0,6.11,50.0,0.0,0.0,0.0,0.0,victor rodriguez
Daniel Zellhuber,Golden Boy,14,1,0,185.42,70.31,195.58,Switch,1999-07-07,5.26,39.0,4.79,53.0,0.28,33.0,94.0,0.3,daniel zellhuber
Jonathan Pearce,JSP,14,5,0,182.88,65.77,180.34,Switch,1992-05-01,5.6,56.0,3.35,55.0,5.29,53.0,56.0,0.8,jonathan pearce
Jeremiah Wells,,12,3,1,175.26,77.11,187.96,Switch,1986-10-30,2.52,45.0,1.14,47.0,3.89,43.0,100.0,1.2,jeremiah wells
Dan Hooker,The Hangman,23,12,0,182.88,70.31,190.5,Switch,1990-02-13,5.08,48.0,4.76,51.0,0.79,34.0,80.0,0.4,dan hooker
Ben Nguyen,Ten,16,8,0,165.1,56.7,165.1,Switch,1988-08-03,3.51,40.0,3.01,59.0,0.25,33.0,63.0,1.0,ben nguyen
TJ Brown,Downtown,17,11,0,175.26,65.77,182.88,Switch,1990-05-22,3.37,44.0,2.89,49.0,3.41,57.0,36.0,1.3,tj brown
